PID,mods_identifier_hdl_s
islandora:11684,http://hdl.handle.net/10560/720
islandora:10746,http://hdl.handle.net/10560/1752
islandora:11865,http://hdl.handle.net/10560/1642
islandora:13018,http://hdl.handle.net/10560/1520
islandora:12493,http://hdl.handle.net/10560/1437
islandora:9449,http://hdl.handle.net/10560/238
islandora:13927,http://hdl.handle.net/10560/1928
islandora:11674,http://hdl.handle.net/10560/716
islandora:10110,http://hdl.handle.net/10560/2469
islandora:11847,http://hdl.handle.net/10560/1654
islandora:12287,http://hdl.handle.net/10560/1498
islandora:10566,http://hdl.handle.net/10560/1738
islandora:12256,http://hdl.handle.net/10560/1442
islandora:13575,http://hdl.handle.net/10560/1718
islandora:12743,http://hdl.handle.net/10560/1699
islandora:12520,http://hdl.handle.net/10560/1356
islandora:11259,http://hdl.handle.net/10560/928
islandora:9612,http://hdl.handle.net/10560/2175
islandora:14387,http://hdl.handle.net/10560/1388
islandora:11712,http://hdl.handle.net/10560/1627
islandora:12405,http://hdl.handle.net/10560/1354
islandora:12706,http://hdl.handle.net/10560/1698
islandora:14254,http://hdl.handle.net/10560/1470
islandora:9067,http://hdl.handle.net/10560/2526
islandora:12641,http://hdl.handle.net/10560/1545
islandora:9693,http://hdl.handle.net/10560/2321
islandora:11086,http://hdl.handle.net/10560/722
islandora:10918,
islandora:10285,http://hdl.handle.net/10560/1060
islandora:9136,http://hdl.handle.net/10560/4251
islandora:13254,http://hdl.handle.net/10560/1730
islandora:10574,http://hdl.handle.net/10560/1742
islandora:10798,http://hdl.handle.net/10560/1841
islandora:11936,http://hdl.handle.net/10560/1409
islandora:9477,http://hdl.handle.net/10560/273
islandora:11618,http://hdl.handle.net/10560/1617
islandora:10899,http://hdl.handle.net/10560/2055
islandora:10311,http://hdl.handle.net/10560/1093
islandora:12074,http://hdl.handle.net/10560/1389
islandora:8973,http://hdl.handle.net/10560/3372
islandora:9490,http://hdl.handle.net/10560/305
islandora:13521,http://hdl.handle.net/10560/1444
islandora:13553,http://hdl.handle.net/10560/1693
islandora:10090,http://hdl.handle.net/10560/962
islandora:8962,http://hdl.handle.net/10560/3331
islandora:11802,http://hdl.handle.net/10560/1968
islandora:11780,http://hdl.handle.net/10560/1643
islandora:10315,http://hdl.handle.net/10560/1096
islandora:11823,http://hdl.handle.net/10560/1651
islandora:10874,http://hdl.handle.net/10560/1944
islandora:13620,http://hdl.handle.net/10560/1802
islandora:11595,http://hdl.handle.net/10560/1006
islandora:11334,http://hdl.handle.net/10560/1008
islandora:10958,http://hdl.handle.net/10560/2779
islandora:13938,http://hdl.handle.net/10560/1830
islandora:10599,http://hdl.handle.net/10560/1741
islandora:13949,http://hdl.handle.net/10560/1825
islandora:14737,http://hdl.handle.net/10560/1702
islandora:12392,http://hdl.handle.net/10560/1431
islandora:12896,http://hdl.handle.net/10560/1358
islandora:8864,http://hdl.handle.net/10560/503
islandora:12467,http://hdl.handle.net/10560/1681
islandora:9375,http://hdl.handle.net/10560/81
islandora:9434,http://hdl.handle.net/10560/223
islandora:12819,http://hdl.handle.net/10560/1357
islandora:13800,http://hdl.handle.net/10560/2010
islandora:9685,http://hdl.handle.net/10560/2309
islandora:12280,http://hdl.handle.net/10560/1392
islandora:9162,http://hdl.handle.net/10560/4160
islandora:13043,http://hdl.handle.net/10560/1725
islandora:9190,http://hdl.handle.net/10560/2880
islandora:9108,http://hdl.handle.net/10560/3740
islandora:11351,http://hdl.handle.net/10560/2460
islandora:10998,http://hdl.handle.net/10560/1595
islandora:14364,http://hdl.handle.net/10560/717
islandora:11538,http://hdl.handle.net/10560/2712
islandora:8111,http://hdl.handle.net/10560/774
islandora:8056,http://hdl.handle.net/10560/3093
islandora:10700,http://hdl.handle.net/10560/1749
islandora:11688,http://hdl.handle.net/10560/1624
islandora:11489,http://hdl.handle.net/10560/2713
islandora:13551,http://hdl.handle.net/10560/1693
islandora:13463,http://hdl.handle.net/10560/1430
islandora:9253,http://hdl.handle.net/10560/3735
islandora:9361,http://hdl.handle.net/10560/67
islandora:9862,http://hdl.handle.net/10560/3002
islandora:14263,http://hdl.handle.net/10560/1463
islandora:8058,http://hdl.handle.net/10560/3336
islandora:13764,http://hdl.handle.net/10560/1800
islandora:11779,http://hdl.handle.net/10560/1643
islandora:12632,http://hdl.handle.net/10560/1543
islandora:14035,http://hdl.handle.net/10560/1938
islandora:12303,http://hdl.handle.net/10560/1546
islandora:12446,http://hdl.handle.net/10560/1353
islandora:12131,http://hdl.handle.net/10560/1675
islandora:14186,http://hdl.handle.net/10560/2111
islandora:11886,http://hdl.handle.net/10560/1391
islandora:11235,http://hdl.handle.net/10560/927
islandora:13770,http://hdl.handle.net/10560/1916
islandora:14696,http://hdl.handle.net/10560/1700
islandora:13478,http://hdl.handle.net/10560/1492
islandora:11691,http://hdl.handle.net/10560/1624
islandora:14726,http://hdl.handle.net/10560/1506
islandora:12208,http://hdl.handle.net/10560/1673
islandora:11075,http://hdl.handle.net/10560/1414
islandora:9378,http://hdl.handle.net/10560/119
islandora:9259,http://hdl.handle.net/10560/3059
islandora:12415,http://hdl.handle.net/10560/1434
islandora:9470,http://hdl.handle.net/10560/266
islandora:14687,http://hdl.handle.net/10560/1528
islandora:14111,http://hdl.handle.net/10560/2053
islandora:9201,http://hdl.handle.net/10560/3750
islandora:9415,http://hdl.handle.net/10560/197
islandora:9661,http://hdl.handle.net/10560/2279
islandora:12227,http://hdl.handle.net/10560/1534
islandora:14715,http://hdl.handle.net/10560/1449
islandora:11654,http://hdl.handle.net/10560/715
islandora:10914,http://hdl.handle.net/10560/2103
islandora:14413,http://hdl.handle.net/10560/1613
islandora:13935,http://hdl.handle.net/10560/1830
islandora:10741,http://hdl.handle.net/10560/1761
islandora:11024,http://hdl.handle.net/10560/1634
islandora:10614,http://hdl.handle.net/10560/1746
islandora:13880,http://hdl.handle.net/10560/1924
islandora:13928,http://hdl.handle.net/10560/1928
islandora:10719,http://hdl.handle.net/10560/1754
islandora:9091,http://hdl.handle.net/10560/825
islandora:10919,http://hdl.handle.net/10560/2110
islandora:12225,http://hdl.handle.net/10560/1534
islandora:13145,http://hdl.handle.net/10560/1440
islandora:9088,http://hdl.handle.net/10560/3561
islandora:13615,http://hdl.handle.net/10560/1802
islandora:13931,http://hdl.handle.net/10560/2017
islandora:13947,http://hdl.handle.net/10560/1825
